id,fname,lname,address,city,state,zip,phone,company_name,IDSK,CustomerID,CompanyName,ContactName,ContactTitle,Address,City,Region,PostalCode,Country,Phone,Fax
125,Sidney,Smelledge,125 Merritt Drive,St. Louis,MO,63101,3145553426,Bush Pro Shop,25,FRANK,Frankenversand,Peter Franken,Marketing Manager,Berliner Platz 43,München,,80805,Germany,089-0877310,089-0877451
126,Sam,Ovar,5 Lindenwood Drive,San Francisco,CA,94105,4155555972,Golden Gate Active Wear,26,FRANR,France restauration,Carine Schmitt,Marketing Manager,"54, rue Royale",Nantes,,44000,France,40.32.21.21,40.32.21.20
127,Mary,Lamm,10 McKinney,Sarasota,FL,34243,8135557566,The Palms,27,FRANS,Franchi S.p.A.,Paolo Accorti,Sales Representative,Via Monte Bianco 34,Torino,,10100,Italy,011-4988260,011-4988261
128,Hardy,Mums,11 5th Avenue S.W.,Boston,MA,02106,6175554340,BoSox Club,28,FURIB,Furia Bacalhau e Frutos do Mar,Lino Rodriguez,Sales Manager,Jardim das rosas n. 32,Lisboa,,1675,Portugal,(1) 354-2534,(1) 354-2535
129,Heinz,Fahrvergnugen,11 Armagh Street,Baltimore,MD,21202,3015553322,Camden Sports Apparel,29,GALED,Galería del gastrónomo,Eduardo Saavedra,Marketing Manager,"Rambla de Cataluña, 23",Barcelona,,08022,Spain,(93) 203 4560,(93) 203 4561
130,Sal,Monella,20th Eastlake Avenue,New Berlin,WI,53141,4145556799,Wyse Corp.,30,GODOS,Godos Cocina Típica,José Pedro Freyre,Sales Manager,"C/ Romero, 33",Sevilla,,41101,Spain,(95) 555 82 82,
131,Daljit,Sinnot,145 Presidents Landing,Bohemia,NY,11716,5165559811,The Pro Shopp,31,GOURL,Gourmet Lanchonetes,André Fonseca,Sales Associate,"Av. Brasil, 442",Campinas,SP,04876-786,Brazil,(11) 555-9482,
132,Marilyn,King,167 South Ulster,Fort Wayne,IN,46801,2195554551,Bristol Co.,32,GREAL,Great Lakes Food Market,Howard Snyder,Marketing Manager,2732 Baker Blvd.,Eugene,OR,97403,USA,(503) 555-7555,
133,Moe,Bilhome,180 W. Colfax Avenue,Burbank,CA,91505,8185558455,Bilhome Industries,33,GROSR,GROSELLA-Restaurante,Manuel Pereira,Owner,5ª Ave. Los Palos Grandes,Caracas,DF,1081,Venezuela,(2) 283-2951,(2) 283-3397
134,Paddy,O'Furniture,1180 W. Las Colinas,Mogadore,OH,44260,2165556283,Gifts & Things,34,HANAR,Hanari Carnes,Mario Pontes,Accounting Manager,"Rua do Paço, 67",Rio de Janeiro,RJ,05454-876,Brazil,(21) 555-0091,(21) 555-8765
135,Belinda,Clarke,204 Constitution Avenue,New York,NY,10001,2125555026,Hermanns,35,HILAA,HILARION-Abastos,Carlos Hernández,Sales Representative,Carrera 22 con Ave. Carlos Soublette #8-35,San Cristóbal,Táchira,5022,Venezuela,(5) 555-1340,(5) 555-1948
136,Tommie,Wooten,1322 Hing Wai Building,Plymouth,MN,55447,6125553373,Leisure Time,36,HUNGC,Hungry Coyote Import Store,Yoshi Latimer,Sales Representative,City Center Plaza 516 Main St.,Elgin,OR,97827,USA,(503) 555-6874,(503) 555-2376
137,Polly,Morfek,879 Hopyard Road,Ft. Wayne,IN,46808,2195554297,Sports Plus,37,HUNGO,Hungry Owl All-Night Grocers,Patricia McKenna,Sales Associate,8 Johnstown Road,Cork,Co. Cork,,Ireland,2967 542,2967 3333
138,Regus,Patoff,22 James Way,Burlington,ON,L7N 5L1,9065554252,Sports Replay,38,ISLAT,Island Trading,Helen Bennett,Marketing Manager,Garden House Crowther Way,Cowes,Isle of Wight,PO31 7PJ,UK,(198) 555-8888,
139,Jai,Dimitros,236 Marineship Way,Boston,MA,02201,6175556354,Martins Landing,39,KOENE,Königlich Essen,Philip Cramer,Sales Associate,Maubelstr. 90,Brandenburg,,14776,Germany,0555-09876,
140,Thomas,Thumb,250 North Vine Street,Salt Lake City,UT,84180,8015553550,"Ski,Ski,Ski",40,LACOR,La corne d'abondance,Daniel Tonini,Sales Representative,"67, avenue de l'Europe",Versailles,,78000,France,30.59.84.10,30.59.85.11
141,Peter,Pyper,408 Beta Mall,Fort Wayne,IN,46801,2195554552,Mall Side Sports,41,LAMAI,La maison d'Asie,Annette Roulet,Sales Manager,1 rue Alsace-Lorraine,Toulouse,,31000,France,61.77.61.10,61.77.61.11
142,Alfredo,Margolis,400 Bloor Street East,Kansas City,MO,64114,8165558543,Creative Customs Inc.,42,LAUGB,Laughing Bacchus Wine Cellars,Yoshi Tannamuri,Marketing Assistant,1900 Oak St.,Vancouver,BC,V3F 2K1,Canada,(604) 555-3392,(604) 555-7293
143,Peter,Piper,3100 Stevens Creek Blvd.,Winnipeg,MB,R3C 3V6,2045559414,Molly's,43,LAZYK,Lazy K Kountry Store,John Steel,Marketing Manager,12 Orchestra Terrace,Walla Walla,WA,99362,USA,(509) 555-7969,(509) 555-6221
144,Fangmei,Wan,4513 E. Hillsdale,Stowe,MA,01775,5085558979,Green Acre's Custom Tee's,44,LEHMS,Lehmanns Marktstand,Renate Messner,Sales Representative,Magazinweg 7,Frankfurt a.M.,,60528,Germany,069-0245984,069-0245874
145,John,Doe,357 Wellworth Ave,Fairfax,VA,22030,7035552184,"Doe, Rae, Mee",45,LETSS,Let's Stop N Shop,Jaime Yorres,Owner,87 Polk St. Suite 5,San Francisco,CA,94117,USA,(415) 555-5938,
146,Alberto,Yost,375 White Horse Road,Spokane,WA,99216,5095559276,Custom Designs,46,LILAS,LILA-Supermercado,Carlos González,Accounting Manager,Carrera 52 con Ave. Bolívar #65-98 Llano Largo,Barquisimeto,Lara,3508,Venezuela,(9) 331-6954,(9) 331-7256
147,Manoj,Lela,501 Third Avenue North,Wood Bridge,NJ,07095,9085556021,Norton Co.,47,LINOD,LINO-Delicateses,Felipe Izquierdo,Owner,Ave. 5 de Mayo Porlamar,I. de Margarita,Nueva Esparta,4980,Venezuela,(8) 34-56-12,(8) 34-93-93
148,Beth,Crooker,501 College Road,Winnepeg,MB,R3C 2P4,2045555554,Cooper Inc.,48,LONEP,Lonesome Pine Restaurant,Fran Wilson,Sales Manager,89 Chiaroscuro Rd.,Portland,OR,97219,USA,(503) 555-9573,(503) 555-9646
149,Hans,Uhnfitte,3700 West Wacker Dr,Winnepeg,MB,R3C `2P4,2045554744,The Ultimate,49,MAGAA,Magazzini Alimentari Riuniti,Giovanni Rovelli,Marketing Manager,Via Ludovico il Moro 22,Bergamo,,24100,Italy,035-640230,035-640231
150,Carl,Mason,1000 Powell Street,Don Mills,ON,M3C 3N4,4165555108,Power Play,50,MAISD,Maison Dewey,Catherine Dewey,Sales Agent,Rue Joseph-Bens 532,Bruxelles,,B-1180,Belgium,(02) 201 24 67,(02) 201 24 68
151,Balwinder,Sinitskaya,1133 Century Blvd,Overland Park,KS,66210,9135554519,Toto's Active Wear,51,MEREP,Mère Paillarde,Jean Fresnière,Marketing Assistant,43 rue St. Laurent,Montréal,Québec,H1J 1C3,Canada,(514) 555-8054,(514) 555-8055
152,Davey,Jones,1218 Inelt Business Ctr.,Austin,NY,11746,5165555952,Play it again Sports,52,MORGK,Morgenstern Gesundkost,Alexander Feuer,Marketing Assistant,Heerstr. 22,Leipzig,,04179,Germany,0342-023176,
153,Paul,Jones,1221 Innovation Drive,Cincinnati,OH,45202,5135557622,Three Rivers Pro Shop,53,NORTS,North/South,Simon Crowther,Sales Associate,South House 300 Queensbridge,London,,SW7 1RZ,UK,(171) 555-7733,(171) 555-2530
154,Marvin,Smythe,1291 North 27th Ave,North Miami,FL,33181,3055559457,Marlin Mainia,54,OCEAN,Océano Atlántico Ltda.,Yvonne Moncada,Sales Agent,Ing. Gustavo Moncada 8585 Piso 20-A,Buenos Aires,,1010,Argentina,(1) 135-5333,(1) 135-5535
155,Milo,Phipps,1380 Osterbrogade,Lakewood,OH,44107,2165552264,Things Remembered,55,OLDWO,Old World Delicatessen,Rene Phillips,Sales Representative,2743 Bering St.,Anchorage,AK,99508,USA,(907) 555-7584,(907) 555-2880
156,Sue,DuCode,1515 San Thomas Avenue,St Louis,MO,63131,3145558227,Ozzie's Haven,56,OTTIK,Ottilies Käseladen,Henriette Pfalzheim,Owner,Mehrheimerstr. 369,Köln,,50739,Germany,0221-0644327,0221-0765721
157,William,Watcom,1615 Silver Lake Road,Chicago,IL,60645,3125557433,The Cub's Den,57,PARIS,Paris spécialités,Marie Bertrand,Owner,"265, boulevard Charonne",Paris,,75012,France,(1) 42.34.22.66,(1) 42.34.22.77
158,Jack,Cass,3626 West Court Street,Lexington,MA,02173,6175558610,Jordan's Basement,58,PERIC,Pericles Comidas clásicas,Guillermo Fernández,Sales Representative,Calle Dr. Jorge Cash 321,México D.F.,,05033,Mexico,(5) 552-3745,(5) 545-3745
159,Rick,Shaw,3715 West Loop South,West Bloomfield,MI,48324,3135553638,ScrimShaw's,59,PICCO,Piccolo und mehr,Georg Pipps,Sales Manager,Geislweg 14,Salzburg,,5020,Austria,6562-9722,6562-9723
160,Clara,Nette,3773 Wilshire Blvd,Port Washington,NY,11050,5165556250,Discount Department Store,60,PRINI,Princesa Isabel Vinhos,Isabel de Castro,Sales Representative,Estrada da saúde n. 58,Lisboa,,1756,Portugal,(1) 356-5634,
161,Gene,Poole,3860 Vreeland Road,Washington,DC,20581,2025556537,State House Active Wear,61,QUEDE,Que Delícia,Bernardo Batista,Accounting Manager,"Rua da Panificadora, 12",Rio de Janeiro,RJ,02389-673,Brazil,(21) 555-4252,(21) 555-4545
162,Melba,Toste,3930 51st Ave North,Powell,OH,43065,6145558983,The Real Deal,62,QUEEN,Queen Cozinha,Lúcia Carvalho,Marketing Assistant,"Alameda dos Canàrios, 891",Sao Paulo,SP,05487-020,Brazil,(11) 555-1189,
163,R.I.,Peese,4199 Buckingham,Mississauga,ON,L4W 2S6,4165556026,Mount Eastern Sports,63,QUICK,QUICK-Stop,Horst Kloss,Accounting Manager,Taucherstraße 10,Cunewalde,,01307,Germany,0372-035188,
164,Aram,Najarian,200 Cambridge Center,Danbury,CT,6811,2035557907,Bloomfield's,64,RANCH,Rancho grande,Sergio Gutiérrez,Sales Representative,Av. del Libertador 900,Buenos Aires,,1010,Argentina,(1) 123-5555,(1) 123-5556
165,Tamara,Mournen,42 Choke Cherry Road,Ft. Wayne,IN,46808,2195554297,Moran's Gift Shop,65,RATTC,Rattlesnake Canyon Grocery,Paula Wilson,Assistant Sales Representative,2817 Milton Dr.,Albuquerque,NM,87110,USA,(505) 555-5939,(505) 555-3620
166,Malcolm,Naddem,4255 Commerce Parkway,Buford,GA,30518,4045552529,Hospital Gift's,66,REGGC,Reggiani Caseifici,Maurizio Moroni,Sales Associate,Strada Provinciale 124,Reggio Emilia,,42100,Italy,0522-556721,0522-556722
167,Nicklas,Cara,1700 State Highway 249,Lakewood,OH,44107,2165552264,The Road Side Inn,67,RICAR,Ricardo Adocicados,Janete Limeira,Assistant Sales Agent,"Av. Copacabana, 267",Rio de Janeiro,RJ,02389-890,Brazil,(21) 555-3412,
168,Almen,de Joie,1750 Sweitzer Lane,Huntington Beach,CA,92649,7145555475,Surf's Up!,68,RICSU,Richter Supermarkt,Michael Holz,Sales Manager,Grenzacherweg 237,Genève,,1203,Switzerland,0897-034214,
169,Laura,Terlemezian,240 First Street,Matthews,NC,28105,7045558411,CoMed,69,ROMEY,Romero y tomillo,Alejandra Camino,Accounting Manager,"Gran Vía, 1",Madrid,,28001,Spain,(91) 745 6200,(91) 745 6210
170,Manh,Neubauer,2140 Haddington Street,Jacksonville,FL,32206,9045553551,Jason's Sporting Goods,70,SANTG,Santé Gourmet,Jonas Bergulfsen,Owner,Erling Skakkes gate 78,Stavern,,4110,Norway,07-98 92 35,07-98 92 47
171,Vincent,Nahra,2180 Harwin Drive,West Chicago,IL,60185-1120,3125555551,Iron Mike's Apparel,71,SAVEA,Save-a-lot Markets,Jose Pavarotti,Sales Representative,187 Suffolk Ln.,Boise,ID,83720,USA,(208) 555-8097,
172,Grace,Perez,395 Market Street,Landover,MA,20785,3015557728,Avon Inc.,72,SEVES,Seven Seas Imports,Hari Kumar,Sales Manager,90 Wadhurst Rd.,London,,OX15 4NB,UK,(171) 555-1717,(171) 555-5646
173,Grover,Pendelton,239 Merritt Drive,Clarksburg,MD,20871,3015554284,Simply Tee's,73,SIMOB,Simons bistro,Jytte Petersen,Owner,Vinbæltet 34,Kobenhavn,,1734,Denmark,31 12 34 56,31 13 35 57
174,Anabai,Zoblotny,12600 N.E. Airport Way,Denver,CO,80225,3035552757,Hats Etc.,74,SPECD,Spécialités du monde,Dominique Perrier,Marketing Manager,"25, rue Lauriston",Paris,,75016,France,(1) 47.55.60.10,(1) 47.55.60.20
175,Tawfik,Perkins,1270 N.W. 7th Avenue,Victoria,BC,V8W 2B7,6045553801,The Hat Company,75,SPLIR,Split Rail Beer & Ale,Art Braunschweiger,Sales Manager,P.O. Box 555,Lander,WY,82520,USA,(307) 555-4680,(307) 555-6525
176,Helen,Shumovich,2800 Park Plaza #1800,Baltimore,MD,21209,4105553322,The Bird's Loft,76,SUPRD,Suprêmes délices,Pascale Cartrain,Accounting Manager,"Boulevard Tirou, 255",Charleroi,,B-6000,Belgium,(071) 23 67 22 20,(071) 23 67 22 21
177,Joseph,Zubenko,314 Stonehollow Drive,Raleigh,NC,27695,9195555152,Avco Ent.,77,THEBI,The Big Cheese,Liz Nixon,Marketing Manager,89 Jefferson Way Suite 2,Portland,OR,97201,USA,(503) 555-3612,
178,Suresh,Naidu,321 Sycamore Drive,New London,CT,6320,2035554440,Amy's Silk Screening,78,THECR,The Cracker Box,Liu Wong,Marketing Assistant,55 Grizzly Peak Rd.,Butte,MT,59801,USA,(406) 555-5834,(406) 555-8083
179,Marsha,Nguyen,44 Dunlaney Gate Circle,Miramar,FL,33027,3055554336,Resco,79,TOMSP,Toms Spezialitäten,Karin Josephs,Marketing Manager,Luisenstr. 48,Münster,,44087,Germany,0251-031259,0251-035695
180,Edith,Peros,50 Market Street,Rochester,NY,14624,7165554275,Breswick's Department Store,80,TORTU,Tortuga Restaurante,Miguel Angel Paolino,Owner,Avda. Azteca 123,México D.F.,,05033,Mexico,(5) 555-2933,
181,Emunah,Teeven,101 Wilshire Blvd.,Washington,DC,20240,2025552083,Hometown Tee's,81,TRADH,Tradição Hipermercados,Anabela Domingues,Sales Representative,"Av. Inês de Castro, 414",Sao Paulo,SP,05634-030,Brazil,(11) 555-2167,(11) 555-2168
182,Leilani,Gardner,103 Campus Drive,Acworth,CA,30102,4045559283,Polly's Custom Design,82,TRAIH,Trail's Head Gourmet Provisioners,Helvetius Nagy,Sales Associate,722 DaVinci Blvd.,Kirkland,WA,98034,USA,(206) 555-8257,(206) 555-2174
183,Marilyn,Nakagama,105 Central Avenue,Winter Park,FL,32792,4075556776,Zoo Gift Shop,83,VAFFE,Vaffeljernet,Palle Ibsen,Sales Manager,Smagsloget 45,Århus,,8200,Denmark,86 21 32 43,86 22 33 44
184,Anoush,Serafina,4643 Greenway Place,Overland Park,KS,66210,9135554519,Westend Dealers,84,VICTE,Victuailles en stock,Mary Saveley,Sales Agent,"2, rue du Commerce",Lyon,,69004,France,78.32.54.86,78.32.54.87
185,Serop,Belmont,4867 Hadley Lane,Hartford,CT,6115,2035555474,The Heartford,85,VINET,Vins et alcools Chevalier,Paul Henriot,Accounting Manager,59 rue de l'Abbaye,Reims,,51100,France,26.47.15.10,26.47.15.11
186,Thao,Tenorio,5000 Midway Road,Kansas City,MO,64105,8165558543,Wally's World,86,WANDK,Die Wandernde Kuh,Rita Müller,Sales Representative,Adenauerallee 900,Stuttgart,,70563,Germany,0711-020361,0711-035428
187,Sebouh,Bensoul,8024 Van Ness Way,Peoria,IL,61614,3095556915,Bensoul's Boutique,87,WARTH,Wartian Herkku,Pirkko Koskitalo,Accounting Manager,Torikatu 38,Oulu,,90110,Finland,981-443655,981-443655
188,Vartan,Berenberg,1020 110th Avenue N.E.,Northbrook,IL,60062,7085552914,Diva's Design,88,WELLI,Wellington Importadora,Paula Parente,Sales Manager,"Rua do Mercado, 12",Resende,SP,08737-363,Brazil,(14) 555-8122,
189,Herbert,Berejiklian,1535 Municiple Drive,Cambridge,MA,02142,6175553547,Out of Town Sports,89,WHITC,White Clover Markets,Karl Jablonski,Owner,305 - 14th Ave. S. Suite 3B,Seattle,WA,98128,USA,(206) 555-4112,(206) 555-4115
190,Randy,Arlington,1635 N Franklin Turnpike,Detriot,MI,48214,3135555716,Jim Dandy's,90,WILMK,Wilman Kala,Matti Karttunen,Owner/Marketing Assistant,Keskuskatu 45,Helsinki,,21240,Finland,90-224 8858,90-224 8858
191,Marta,Richards,10707 Northridge Road,Miami,FL,33172,3055554711,Ocean Sports Wear,91,WOLZA,Wolski  Zajazd,Zbyszek Piestrzeniewicz,Owner,ul. Filtrowa 68,Warszawa,,01-012,Poland,(26) 642-7012,(26) 642-7012
